timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1652679375514,42,WNSP_TCPConnect,200,OK,Thread Group 1-1,,true,,0,0,1,1,null,0,0,0
1652679375816,301,WNSP_Connect,200,OK,Thread Group 1-1,,true,,0,0,1,1,null,0,0,0
1652679376099,278,WNSP_ServiceRequestMessage(null),,,Thread Group 1-1,,false,,0,0,1,1,null,0,0,0
1652679376099,10,Debug Sampler,200,OK,Thread Group 1-1,text,true,,681,0,1,1,null,0,0,0
1652679376221,113,WNSP_Disconnect: Disconnected,200,OK,Thread Group 1-1,,true,,0,0,1,1,null,0,0,0
1652681615491,46,WNSP_TCPConnect,200,OK,Thread Group 1-1,,true,,0,0,1,1,null,0,0,0
1652681615806,314,WNSP_Connect,200,OK,Thread Group 1-1,,true,,0,0,1,1,null,0,0,0
1652681616073,262,WNSP_ServiceRequestMessage(null),,,Thread Group 1-1,,false,,0,0,1,1,null,0,0,0
1652681616074,0,Debug Sampler,200,OK,Thread Group 1-1,text,true,,681,0,1,1,null,0,0,0
1652681616195,121,WNSP_Disconnect: Disconnected,200,OK,Thread Group 1-1,,true,,0,0,1,1,null,0,0,0
1652685667313,52,WNSP_TCPConnect,200,OK,Thread Group 1-1,,true,,0,0,1,1,null,0,0,0
1652685667653,335,WNSP_Connect,200,OK,Thread Group 1-1,,true,,0,0,1,1,null,0,0,0
1652685667903,241,WNSP_ServiceRequestMessage(null),,,Thread Group 1-1,,false,,0,0,1,1,null,0,0,0
1652685667905,1,Debug Sampler,200,OK,Thread Group 1-1,text,true,,681,0,1,1,null,0,0,0
1652685668024,118,WNSP_Disconnect: Disconnected,200,OK,Thread Group 1-1,,true,,0,0,1,1,null,0,0,0
1652687078121,40,WNSP_TCPConnect,200,OK,Thread Group 1-1,,true,,0,0,1,1,null,0,0,0
